n_pow2,k_pow2,time_s_m96
14,4,38.410038232803345
15,4,67.91004419326782
16,4,139.4397530555725
17,4,272.544499874115
18,4,531.1344692707062
19,4,1092.6141138076782
20,4,2198.2741084098816
17,0,57.6205997467041
17,1,71.5032229423523
17,2,100.80862927436829
17,3,157.23326683044434
17,4,275.9085831642151
17,5,490.0899450778961
17,6,951.3141040802002
17,7,1872.7657878398895
17,8,3596.449300765991
17,9,6999.975300073624
17,10,13847.665828943253
